query_id,retrieved_docs
021,cts_for_0000709 cdn_ent_0000224 ctc_ser_0000389 cte_foc_0001429 cte_foc_0003502 cdn_edu_0000309 cte_esy_0000053 cts_esy_0000470 cdn_chi_0001153 cdn_foc_0008208 cdn_loc_0000712 cdn_edu_0000448 ctc_ser_0000390 cts_ent_0000893 ctc_ser_0000519 cdn_soc_0003606 cts_for_0000417 cdn_ent_0000056 cdn_edu_0001310 cdn_ent_0000098 cdn_soc_0000767 cts_esy_0000183 cte_foc_0001364 cts_for_0002053 cts_for_0001688 cte_esy_0000153 cdn_foc_0000996 cts_chi_0000579 cts_esy_0000403 cts_art_0002068 cdn_ent_0000129 cts_eco_0001506 cdn_loc_0001998 cdn_chi_0001517 cts_for_0000412 ctc_ser_0000500 cdn_edu_0001070 cdn_ent_0000246 cts_for_0001746 cdn_foc_0003749 cts_art_0001405 cdn_soc_0003792 cdn_chi_0002284 cts_ent_0001506 cdn_soc_0004663 cts_for_0001846 cdn_foc_0005839 cdn_soc_0002913 cdn_for_0000501 cts_esy_0000356 cte_esy_0000087 cdn_foc_0006068 cts_for_0001073 cte_esy_0000189 cts_art_0000470 cte_esy_0000143 cdn_for_0000574 cdn_edu_0001373 cdn_foc_0001657 cts_art_0000148 cts_for_0001460 ctc_chi_0001225 cdn_edu_0001205 cts_for_0000379 cdn_for_0000179 cdn_soc_0002676 cdn_foc_0007231 cts_for_0000108 ctc_ser_0001255 ctc_esy_0000281 cdn_ent_0000229 cts_esy_0000535 cts_foc_0001260 cdn_soc_0000292 cdn_foc_0000535 cdn_soc_0002309 cts_art_0001106 cdn_edu_0000653 cts_art_0001365 cdn_soc_0002194 cts_for_0002054 cdn_soc_0000085 cts_for_0001206 cts_for_0000938 cdn_edu_0001045 ctc_ser_0001209 cts_for_0001829 cdn_for_0000481 cdn_edu_0000383 cdn_soc_0004893 cts_esy_0000051 cts_esy_0000489 ctc_ser_0001184 cdn_ent_0000225 cts_eco_0001874 cdn_loc_0000405 cts_soc_0000312 cdn_spo_0000814 cts_for_0002131 cts_chi_0000922 cdn_soc_0003516 cts_for_0001039 ctc_fin_0001382 cdn_foc_0005365 cts_pol_0003264 cdn_edu_0000172 cts_art_0000463 cdn_loc_0002210 ctc_ser_0000135 cts_pol_0003259 cte_foc_0002676 cts_for_0001259 cdn_eco_0002196 cts_chi_0001759 cdn_edu_0000584 cdn_for_0000344 cdn_loc_0002094 cdn_for_0000655 cdn_eco_0001621 cdn_foc_0002257 cdn_edu_0001021 cts_art_0001855 cdn_soc_0000005 cdn_soc_0000499 ctc_ser_0000421 cts_for_0001293 cts_pol_0002224 cts_for_0001919 cts_art_0001404 cdn_edu_0000098 cdn_foc_0001583 cts_art_0001480 cdn_foc_0004526 cdn_ent_0000157 cte_esy_0000134 cdn_chi_0001446 cts_art_0002021 cts_for_0000081 ctc_ser_0001173
022,cdn_eco_0000802 cts_foc_0000252 ctc_mnf_0002153 ctc_foc_0000860 cts_for_0000058 cdn_soc_0001087 cdn_eco_0001178 cts_for_0001537 cdn_foc_0007913 ctc_esy_0000057 cdn_soc_0000866 cte_foc_0000854 ctc_dep_0000844 cdn_eco_0002340 ctc_foc_0000027 cdn_soc_0001355 ctc_dep_0000845 cdn_foc_0001293 cts_art_0001480 ctc_dep_0001562 cdn_foc_0000021 cts_int_0000292
023,cdn_spo_0000979 cdn_spo_0000963 cdn_spo_0000974 cts_for_0001628 cdn_for_0000471 ctc_dep_0001126 cts_for_0000804 cts_for_0000955 cdn_spo_0001400 ctc_dep_0001127 cdn_spo_0000517 cdn_spo_0000826 cts_int_0001329 cdn_spo_0000899 cdn_spo_0000981 cdn_soc_0003876 ctc_eco_0001211 ctc_dep_0001128 cte_foc_0002963 ctc_dep_0000838 cts_ent_0000538 cts_ent_0000031 cte_foc_0000435 cts_int_0000799 ctc_eco_0000413 cte_foc_0000654 cdn_spo_0001089 cts_foc_0003848 cdn_foc_0004782 cts_int_0002787 cts_ent_0001930 cdn_spo_0001295 ctc_dep_0000769 cts_ent_0003461 cts_ent_0000258 cts_ent_0001840 cts_int_0001187 ctc_sto_0003727 cts_art_0000207 cts_for_0000875 cts_ent_0002189 cdn_spo_0000976 cdn_spo_0001486 cts_chi_0002106 cts_ent_0000761 cdn_spo_0001000 cte_foc_0002955 cdn_soc_0002223 ctc_dep_0001065 ctc_eco_0001548 cts_foc_0000966
024,cdn_soc_0003638 cts_for_0001436 cdn_soc_0003683 cts_soc_0004303 cts_soc_0002304 cts_soc_0004250 cdn_loc_0002000 cdn_soc_0003631 cdn_soc_0000948 cts_soc_0004283 cts_soc_0004201 cdn_foc_0004373 cdn_foc_0004355 cts_for_0001478 cdn_loc_0001676 cts_soc_0002733 cts_for_0001435 cts_for_0001441 cts_soc_0004349 cdn_ent_0000127 cdn_soc_0003618 cdn_loc_0001751 cts_for_0000751 cdn_loc_0002240 cts_for_0000890 cdn_loc_0000434 cts_for_0001132 cdn_soc_0000402 cts_foc_0005618 cdn_loc_0000981 cte_foc_0002716
025,cdn_foc_0000563 cdn_foc_0004055 cdn_foc_0007936 ctc_fin_0001431 ctc_foc_0003007 ctc_fin_0000825 cdn_eco_0003531 cdn_eco_0000892 cdn_foc_0004862 cdn_eco_0001259 cts_eco_0001562 cts_for_0001786 ctc_mnf_0000016 cts_eco_0001340 ctc_dep_0001397 ctc_foc_0002614 ctc_foc_0001004 ctc_foc_0002413 cdn_eco_0002059 ctc_foc_0003236 cts_eco_0001645 ctc_dep_0000399 cts_eco_0003693 ctc_sto_0005709 ctc_foc_0003093 ctc_foc_0002540 cts_foc_0004117 ctc_dep_0001376 cdn_foc_0004734 ctc_dep_0000677 cdn_foc_0008180 cdn_foc_0007940 ctc_foc_0000860 ctc_dep_0001564 ctc_dep_0000136 cts_eco_0002928 ctc_dep_0000676 cdn_eco_0002211 cdn_eco_0000239 ctc_fin_0000826 ctc_foc_0003154 ctc_foc_0003257 cts_foc_0004652 cts_pol_0001891 cts_pol_0001892 ctc_chi_0001824 ctc_esy_0000233 cts_pol_0001357 ctc_foc_0002834 cts_foc_0004122 ctc_foc_0001373 ctc_foc_0003210 ctc_foc_0003031 cts_eco_0003869 cdn_foc_0008205 ctc_dep_0000987 ctc_foc_0001013 cdn_eco_0003764 ctc_foc_0003638 cte_sto_0001391 ctc_fin_0000624 cts_foc_0000124 cts_pol_0001367 ctc_tec_0000101 cdn_foc_0008178 cts_foc_0002212 cts_foc_0002217 cdn_foc_0005119 cdn_foc_0002766 cdn_eco_0000888 cdn_foc_0008068 ctc_foc_0002622 ctc_foc_0003169 cte_foc_0003291 cdn_eco_0002487 ctc_foc_0003142 ctc_mnf_0002199 cts_foc_0004118 cts_esy_0000493 cdn_eco_0000208 ctc_foc_0000620 cdn_eco_0000307 ctc_mnf_0002067 cdn_eco_0004066 cdn_for_0000461 cts_foc_0004066 cdn_soc_0004597 ctc_fin_0002195 cdn_eco_0001201 cdn_eco_0001425 cts_eco_0003637 cdn_foc_0005708 ctc_foc_0003044 cdn_eco_0004028 cdn_eco_0001898 cts_foc_0000822 ctc_dep_0001299 ctc_fin_0002015 cts_foc_0004950 cts_eco_0001147 cdn_foc_0002233 ctc_foc_0003024 ctc_foc_0003252 ctc_esy_0000190 cts_foc_0005507 cts_eco_0003860 cts_foc_0002306 cdn_for_0000273 cdn_foc_0008384 cdn_foc_0007932 cdn_eco_0001926 ctc_foc_0002586 cts_eco_0003127 cdn_foc_0004731 ctc_foc_0000073 ctc_foc_0001698 cts_eco_0000040 ctc_tec_0000713 ctc_foc_0001014 cdn_eco_0000110 cts_eco_0003203 ctc_eco_0000725 ctc_foc_0003026 ctc_foc_0000509 ctc_foc_0003624 ctc_cgo_0000321 ctc_foc_0003102 ctc_fin_0002256 cts_foc_0004780 cdn_eco_0001488 ctc_chi_0000319 ctc_chi_0001754 cdn_foc_0007939 ctc_esy_0000057 ctc_fin_0002374 cdn_eco_0001257 cts_eco_0003633 cte_sto_0001579 cdn_foc_0004718 ctc_foc_0002315 ctc_foc_0002757 cte_esy_0000213 cdn_foc_0000021 cdn_foc_0002747 ctc_foc_0003016 ctc_foc_0001609 cdn_foc_0007119 ctc_foc_0000254 ctc_foc_0001064 ctc_esy_0000032
026,ctc_dep_0000404 ctc_ser_0000375 ctc_ser_0000991 ctc_mnf_0000364 cts_soc_0002268 ctc_ser_0001145 cts_foc_0005443 cdn_soc_0000575 ctc_mnf_0001581 cdn_soc_0003203 ctc_fin_0000696 ctc_fin_0002085 cte_sto_0000184 cts_soc_0006096 cts_soc_0004100 cts_soc_0001127 cdn_soc_0001955 cdn_soc_0002166 cts_soc_0000345 cts_for_0001482 cdn_eco_0000628 cdn_foc_0003512
027,cdn_foc_0004915 cdn_foc_0005239 cdn_foc_0004880 cts_pol_0000404 cdn_for_0000623 cts_pol_0002231 cdn_foc_0003488 cts_foc_0000201 cdn_foc_0007720 cte_foc_0002593 cts_pol_0001730 cts_foc_0004830 cts_pol_0000223 cdn_foc_0005395 cts_pol_0002678 cdn_soc_0003070 cdn_foc_0004749 cts_pol_0002897 cts_foc_0005327 cts_pol_0001060 cdn_foc_0004567 cdn_foc_0007712 cts_esy_0000397 cdn_soc_0003315 cts_foc_0004218 ctc_dep_0000708 cts_pol_0003256 cdn_foc_0005596 cte_foc_0003668 cdn_foc_0002487 cdn_foc_0001868 cdn_foc_0003437 cdn_foc_0004482 cts_pol_0002424 cdn_foc_0000182 cts_foc_0005703 cts_foc_0003371 cte_foc_0002181 cte_foc_0002510 cdn_foc_0007602 cts_pol_0000374 cts_esy_0000258 cts_foc_0001795 cts_pol_0003181 cdn_foc_0000779 cts_pol_0001640 cdn_foc_0008578 cdn_foc_0004672 cdn_foc_0004273 cts_foc_0000506 cdn_soc_0003026 cts_foc_0003432 cdn_foc_0004959 cts_pol_0002751 cts_pol_0001446 cdn_chi_0001153 cdn_chi_0001350 cte_foc_0003127 cdn_foc_0000665 cdn_foc_0005701 cts_foc_0004971 cts_pol_0002980 cts_foc_0005601 cdn_soc_0003319 cdn_foc_0003459 cts_foc_0004757 cte_foc_0002800 ctc_sto_0005990 cdn_foc_0005245 cdn_foc_0003759 cdn_foc_0002946 ctc_dep_0000928 ctc_chi_0001565 cts_pol_0002512 cdn_foc_0004733 cts_for_0002090 cdn_foc_0004949 cts_for_0001443 cts_pol_0002900 cdn_foc_0001576 cdn_foc_0005205 cte_foc_0002759 cdn_foc_0006040 ctc_fin_0002845 cdn_foc_0007609 cts_foc_0003924 ctc_foc_0002388 cts_foc_0000807 cte_foc_0001426 cts_for_0001456 cts_pol_0001377 cte_foc_0002962 cts_foc_0004805 cts_pol_0000532 cdn_foc_0007513 cts_foc_0004125 cdn_foc_0005284 cts_pol_0000487 cts_pol_0000026 cdn_foc_0003551 cts_esy_0000271 cte_foc_0000520 cte_foc_0000005 cts_foc_0000509 cts_pol_0000279 cts_pol_0001559 cts_for_0001808 cts_foc_0000470 cts_foc_0004192 cts_pol_0000153 cdn_soc_0003722 cts_for_0000101 cts_for_0001444 cte_foc_0000470 cdn_foc_0008312 cts_pol_0003054 cts_foc_0000172 cte_foc_0002565 cte_foc_0002787 cdn_foc_0002725 cte_foc_0003150 cts_pol_0002553 cte_foc_0000310 cte_foc_0002851 cts_foc_0004957 cdn_edu_0000723 cts_for_0000521 cte_foc_0000949 cte_foc_0002494 ctc_dep_0000919 cts_foc_0000346 cdn_foc_0002605 cdn_foc_0000566 cts_foc_0004741 cdn_foc_0005717 cts_pol_0000250 cts_esy_0000490 cts_ent_0000125 cts_pol_0002028 cts_pol_0002558 cts_foc_0000163 cts_chi_0000291 cts_foc_0001606 cdn_foc_0008078 cdn_foc_0002007 cts_for_0000072 cdn_soc_0003320 cdn_foc_0003559 cts_int_0001544 cts_esy_0000321
028,cts_for_0000407 cdn_chi_0000484 cdn_foc_0001334 cdn_foc_0000789 cdn_for_0000073 cdn_foc_0000666 ctc_foc_0000588 cts_foc_0000867 cdn_foc_0003597 cdn_foc_0003616 cts_foc_0001077 cts_chi_0000414 cdn_foc_0001287 ctc_chi_0001170 cdn_foc_0002801 cdn_foc_0001189 cts_chi_0000579 cdn_foc_0006369 cts_foc_0003939 cdn_chi_0000627 cdn_foc_0001135 cte_foc_0000654 cts_for_0000400 cdn_foc_0005558 ctc_foc_0000491 cts_foc_0001432 cts_eco_0000791 cts_foc_0000942 cts_pol_0001178 cts_foc_0000851 cts_foc_0000894 cts_pol_0000256 cdn_for_0000159 cdn_for_0000123 cts_foc_0001226 cts_for_0000382 cdn_chi_0000313 cdn_chi_0000437 cts_for_0001458 cdn_foc_0005229 cdn_foc_0008522 cts_for_0002104 cdn_foc_0006666 cts_pol_0000576 cts_foc_0000998 cts_foc_0000951 cdn_soc_0003339 cts_pol_0002487 cte_foc_0000667 cte_foc_0000109 cdn_foc_0003139 cdn_foc_0001434 cdn_foc_0005717 cte_foc_0000769 cdn_foc_0001523 cdn_foc_0000899 cdn_foc_0006415 cdn_foc_0001992 cdn_foc_0001114 cts_pol_0000125 cdn_foc_0000058 cts_foc_0000881 cts_foc_0004069 cdn_foc_0002993 cts_foc_0000939 cts_foc_0000933 cts_foc_0000958 cdn_foc_0004590 cdn_chi_0000992 cdn_chi_0001452 cdn_for_0000625 ctc_foc_0000671 cdn_foc_0006116 cdn_foc_0000169 cdn_foc_0000869 cdn_foc_0003316 cts_pol_0000681 cdn_for_0000116 cts_foc_0000938 cdn_foc_0000930 cts_foc_0000189 cts_foc_0001078 cdn_for_0000035 cdn_foc_0000743 cts_foc_0000854 cte_foc_0003706 cts_chi_0000164 cts_pol_0001189 cdn_chi_0000744 cdn_foc_0000641 cts_pol_0000553 cdn_foc_0000657 cts_foc_0005532 cts_chi_0000969 cts_pol_0001177 cdn_for_0000621 cdn_foc_0004213 cts_foc_0000917 cdn_foc_0006320 cts_for_0000596 cdn_foc_0003398 ctc_foc_0000469 cdn_foc_0000896 ctc_foc_0000555 cts_pol_0001500 cts_pol_0003043 cdn_chi_0001153 cdn_chi_0000349 cts_pol_0001188 cdn_foc_0008353 cts_foc_0005034 cts_foc_0005029 cts_pol_0000697 cdn_chi_0000003 cdn_foc_0004414 cdn_foc_0001515 cdn_foc_0002805 cts_foc_0001075 cdn_foc_0003964 cdn_foc_0006345 cts_foc_0000926 cts_foc_0003808 cts_chi_0000410 cts_chi_0001881 cdn_foc_0001000 cts_foc_0001065 cts_esy_0000480 cdn_for_0000665 cdn_foc_0001087 cts_pol_0000551 cdn_foc_0006323 cdn_foc_0005817 cts_pol_0003256 cdn_foc_0004642 cts_chi_0001414 cts_chi_0000324 cts_pol_0001037 cts_for_0000412 cdn_foc_0001050 cts_foc_0003771 cdn_foc_0001167 cts_chi_0000769 cdn_foc_0004201 cts_foc_0001724 cdn_foc_0000127 cdn_foc_0003312 cte_esy_0000053 cdn_foc_0002423 cdn_for_0000323 cdn_foc_0001243
029,cdn_soc_0004994 cdn_soc_0004134 cdn_loc_0001805 cts_esy_0000522 cts_for_0001655 cts_soc_0005957 cts_for_0000451 cts_soc_0006120 ctc_foc_0003079 cts_for_0002063 cts_for_0002008 cdn_soc_0005146 cts_eco_0000871 cts_eco_0003397 cts_for_0001999 cdn_soc_0004133 cts_soc_0001027 cts_soc_0005956 cte_foc_0003124 cdn_soc_0004992 ctc_dep_0000449 cdn_soc_0004993 cdn_soc_0005161 cts_foc_0003024
030,cdn_eco_0001865 ctc_sto_0003051 cdn_eco_0001588 ctc_sto_0004658 cdn_eco_0002170 cts_foc_0004208 ctc_dep_0000653 ctc_dep_0000882 ctc_dep_0000659 ctc_sto_0002668 ctc_sto_0005109 cte_sto_0000702 ctc_fin_0001453 cts_eco_0002151 cdn_eco_0003806 ctc_dep_0000655 ctc_foc_0001359 cdn_eco_0001744 cdn_eco_0001759 ctc_fin_0002041 ctc_foc_0001955 ctc_foc_0000303 cdn_foc_0002322 ctc_sto_0002315 cte_sto_0000717 cts_eco_0001877 cdn_eco_0004115 cdn_eco_0001876 ctc_fin_0002281 cdn_foc_0004278 cts_eco_0002810 ctc_foc_0002682 cte_sto_0000437 ctc_fin_0002462 ctc_esy_0000111 ctc_sto_0002385 ctc_fin_0002876 ctc_foc_0001806 cte_foc_0002998 ctc_tec_0001890 ctc_esy_0000212 cts_eco_0000920 cdn_eco_0001211 cts_eco_0003450 ctc_fin_0002005 cts_foc_0004963
